CID,TRANSIENT_NAME,RA,DEC
1247065,DES13E1ateo,8.960345,-43.443661
1247070,DES13E1dv,9.048704,-43.360317
1247074,DES13E1bgjr,9.063922,-43.469929
1247080,DES13E2awdw,9.332257,-44.676716
1247081,DES15E2apr,9.362819,-44.710148
1247085,DES13E2bght,9.160290,-43.389595
1247087,DES13E2gnf,8.407344,-44.183395
1247093,DES13E2bta,9.048264,-44.112846
1247096,DES13E2aecd,9.223648,-43.384174
1247097,DES13E2bghx,9.087539,-44.144379
1247099,DES13E2btb,9.089798,-44.089958
1247102,DES15E2dws,10.424407,-44.120621
1247103,DES13E2aka,9.412101,-44.795281
1247105,DES15E2ug,10.458040,-44.017567
1247106,DES13E2bwi,9.174047,-44.124226
1247107,DES13E2bghf,8.385962,-44.346905
1247108,DES13E2bggp,10.472895,-44.029205
1247110,DES13E2bub,9.268137,-44.097626
1247113,DES13E2btc,9.182515,-44.083523
1247114,DES13E2hw,9.203439,-44.051045
1247118,DES13E2bggu,9.805335,-43.098366
1247120,DES13E2bgjq,9.907949,-43.080078
1247128,DES13E2bgil,9.263480,-44.194332
1247134,DES13E2nuo,8.740883,-44.185230
1247146,DES13E2bgia,8.927577,-44.301697
1247147,DES13E2bthv,8.916611,-43.848885
1247148,DES15E2aps,10.519369,-43.721890
1247150,DES13E2bui,10.278375,-44.284302
1247155,DES13E2ayss,8.962595,-43.886879
1247157,DES13E2bud,10.308301,-44.216713
1247158,DES13E2bgib,8.967190,-44.289524
1247159,DES13E2bthw,10.226502,-43.921818
1247160,DES13E2bwd,10.413439,-44.463257
1247162,DES13E2bgiy,10.293327,-43.885067
1247164,DES13E2bghi,10.518933,-44.469849
1247167,DES13E2bwe,10.644977,-44.441563
1247170,DES13E2ix,10.467949,-43.869862
1247171,DES13E2emz,9.095346,-43.197044
1247172,DES13E1bsa,9.133291,-43.206215
1247179,DES13E2xw,9.288591,-43.734520
1247182,DES13E2bgij,9.557660,-44.727261
1247194,DES13E1bu,8.436625,-43.510792
1247199,DES13E2bgin,8.950142,-44.415756
1247206,DES13E1bfuc,9.054380,-43.034424
1247208,DES13E1eol,9.059493,-43.113968
1247213,DES13E2bfuu,9.094343,-43.040268
1247214,DES15E2uh,9.909314,-44.804176
1247215,DES13E2kxm,9.918427,-44.762199
1247217,DES13E2yt,9.132820,-43.582329
1247220,DES13E2bghy,9.204034,-43.594433
1247221,DES13E2bsy,9.762555,-44.117062
1247230,DES13E2bsz,9.953732,-44.038189
1247232,DES13E1wa,8.566753,-43.560520
1247233,DES13E2zd,9.975454,-44.086109
1247234,DES13E1cyp,8.570274,-43.619373
1247237,DES13E2buh,10.004994,-44.140099
1247239,DES13E2zl,8.123551,-44.002728
1247244,DES13E2ayqh,8.276349,-44.048870
1247245,DES13E1ateh,8.775125,-43.198185
1247251,DES13E1fl,9.043627,-43.190323
1247252,DES13E1de,8.977354,-43.227566
1247253,DES13E1bfvb,9.054324,-43.280865
1247261,DES13E2xk,9.643617,-43.635334
1247263,DES13E2bghl,9.785340,-43.570248
1247264,DES13E2gj,9.874661,-43.575981
1247267,DES13E2btf,9.781997,-43.453724
1247268,DES13E2bgir,9.839164,-43.396999
1247276,DES13E2bgjk,10.068859,-43.903229
1247278,DES13E1eqi,8.850674,-43.651848
1247283,DES13E2aiw,9.520147,-43.747990
1247284,DES13E2bgge,10.050185,-44.453983
1247285,DES13E2bggf,10.070823,-44.464954
1247286,DES13E2bggg,10.192018,-44.470612
1247287,DES13E2abb,10.286853,-44.363274
1247290,DES13X1fud,33.674400,-4.619219
1247294,DES13X1adlz,35.332886,-4.996880
1247295,DES13X1bthx,35.352181,-5.034817
1247297,DES13X1admb,35.415512,-4.998899
1247299,DES15X1apt,35.441307,-5.038395
1247301,DES13X1baax,33.671616,-5.388627
1247305,DES13X1bjsg,34.524139,-5.314615
1247313,DES13X1bthz,34.844315,-4.682727
1247315,DES13X1bjpb,34.890526,-5.822188
1247318,DES13X1daf,34.962807,-4.683356
1247322,DES13X1bjqn,34.529953,-5.622976
1247325,DES13X1fub,34.059921,-5.380126
1247326,DES15X1ui,34.649563,-5.632730
1247327,DES13X1trj,34.092667,-5.340920
1247332,DES13X1das,33.978031,-4.898380
1247333,DES13X1bjpm,33.949310,-4.844544
1247342,DES13X1awjq,33.656090,-4.992418
1247344,DES13X1dax,34.954849,-5.490466
1247350,DES13X1dav,34.143681,-5.598412
1247352,DES14X1zha,35.138405,-5.511154
1247356,DES13X1gkg,34.711433,-4.330673
1247358,DES13X1bjqv,34.923702,-4.390347
1247360,DES13X1ftg,34.666195,-4.799451
1247363,DES15X1uj,34.784496,-4.917053
1247364,DES13X1oke,34.492153,-5.247272
1247368,DES13X1bjro,34.643578,-5.232522
1247372,DES13X1bjqb,33.709183,-5.138787
1247378,DES13X1dam,34.143448,-4.697148
1247385,DES13X1bthy,34.451157,-5.653002
1247386,DES13X1bafu,34.237831,-5.533165
1247390,DES13X1bajs,34.410999,-5.614194
1247391,DES13X1kcf,33.441845,-4.907153
1247392,DES13X1cts,34.265968,-5.527996
1247395,DES13X1bjql,34.247067,-5.479825
1247396,DES13X1djn,33.719849,-5.436260
1247405,DES13X1tmo,33.687416,-4.914705
1247406,DES13X1attv,34.166870,-4.798837
1247407,DES13X1bjrn,33.847027,-5.496117
1247411,DES13X1kzr,34.108971,-5.165624
1247414,DES13X1btia,34.299889,-4.772242
1247419,DES13X1ascl,33.916458,-4.164710
1247420,DES13X1cpt,34.056496,-4.197978
1247424,DES13X1awiu,34.846508,-5.128479
1247429,DES13X1bjrl,34.172073,-4.247485
1247437,DES13X1cmz,34.588841,-4.286978
1247438,DES13X1dap,34.536610,-4.622976
1247443,DES13X1bjps,35.131325,-5.368694
1247448,DES13X1cny,34.848244,-4.227754
1247451,DES13X1gwz,34.870380,-4.116718
1247452,DES13X1baud,34.908310,-5.334054
1247459,DES13X1ftx,35.057373,-4.213747
1247461,DES13X1qwk,35.083942,-4.168398
1247462,DES13X1badt,35.356274,-5.360654
1247470,DES13X1qvy,33.916786,-4.290408
1247472,DES13X1cop,34.471523,-5.046890
1247474,DES13X1cos,34.547550,-4.946324
1247480,DES13X1bjqw,34.815990,-4.497248
1247483,DES13X1azxx,34.932861,-4.550506
1247489,DES13X1sdz,35.020706,-4.467758
1247490,DES13X1bjsd,34.570648,-4.239744
1247492,DES13X1btib,34.719814,-4.545105
1247495,DES13X1bjrp,34.663681,-4.139284
1247498,DES13X1btid,34.128605,-4.347674
1247500,DES13X1dac,34.742241,-4.156184
1247501,DES13X1bjrq,34.733093,-4.201242
1247504,DES13X1com,34.910816,-5.065342
1247507,DES13X1bjqa,34.717365,-4.033377
1247509,DES13X1bjpz,34.422039,-4.833255
1247514,DES13X1bacv,34.498077,-4.792880
1247519,DES13X1ful,34.011677,-4.534838
1247522,DES13X1cpi,34.137810,-4.508631
1247529,DES13X1czs,35.134293,-4.744521
1247530,DES13X1dji,34.791599,-5.491899
1247531,DES13X1amee,35.273464,-4.683740
1247532,DES13X1dbb,35.282692,-4.667130
1247537,DES13X1cqr,34.025147,-5.010933
1247538,DES13X1cqs,34.047260,-4.978300
1247542,DES13X1anja,34.228130,-4.962463
1247548,DES13X1tmr,35.115219,-4.825931
1247552,DES13X1eao,34.197407,-3.982319
1247557,DES13X1atug,35.024700,-4.972155
1247559,DES13X1dlu,35.091694,-5.074802
1247561,DES13X1fvq,35.185196,-5.151680
1247567,DES13X1bami,34.177475,-5.859124
1247568,DES13X1bjsj,34.202301,-5.840288
1247570,DES13X1anip,33.701939,-4.508135
1247573,DES13X1btie,33.750931,-4.502100
1247576,DES13X1dad,35.046948,-4.420053
1247578,DES13X3sqf,36.985233,-4.718694
1247580,DES13X3dgx,37.042561,-4.619474
1247586,DES13X3aqha,37.199062,-4.704412
1247588,DES13X3rd,37.201695,-4.740410
1247589,DES13X3ccf,37.213802,-4.658441
1247594,DES13C2acc,54.248604,-29.073130
1247597,DES13C2bhes,53.515236,-29.093809
1247600,DES13C2pik,54.175617,-29.777779
1247602,DES13C2nm,54.801243,-29.512030
1247606,DES13C2bheg,54.165897,-28.767128
1247608,DES13C2btif,54.187828,-29.513184
1247613,DES13C2bhda,54.887726,-29.724352
1247615,DES13C2bhdb,54.917088,-29.660097
1247619,DES13C2bhkd,55.044712,-28.765341
1247625,DES13C2bzl,55.068272,-28.815386
1247626,DES13C2dwy,54.481350,-28.946171
1247638,DES13C2bhhx,54.793572,-28.929485
1247640,DES13C2bhgt,54.947090,-29.751749
1247642,DES13C2bhep,53.876022,-29.438667
1247643,DES13C2acz,55.077343,-29.461845
1247645,DES13C2bhgj,54.342247,-28.437128
1247647,DES13C2ada,55.143135,-29.454540
1247652,DES15C2apu,55.234776,-29.560991
