CID	FLAG
1247839 1
1247904 1
1247913 1
1248371 5
1248469 5
1248816 1
1248819 1
1248820 1
1249021 1
1249022 1
1249031 1
1249035 1
1249099 5
1249104 1
1249110 1
1247284 1
1247285 1
1247286 1
1247287 1
1247759 0
1247763 1
1247828 1
1247831 1
1247902 1
1248039 1
1248041 1
1248050 1
1248054 3
1248109 0
1248110 5
1248261 1
1248272 1
1248274 1
1248369 1
1248403 1
1248619 1
1248621 5
1248669 1
1248706 1
1249625 1
1249627 1
1249699 1
1249708 1
1249709 5
1249907 1
1249908 1
1250471 1
1250475 1
1250500 1
1250505 1
1250532 1
1250533 1
1250602 3
1250703 1
1250706 1
1250746 1
1250788 1
1250791 5
1250794 1
1250896 1
1251118 5
1251172 1
1251173 1
1251174 0
1251175 0
1249522 1
1249526 1
1249530 5
1249601 0
1249637 5
1249670 0
1249676 5
1249846 4
1249879 5
1249880 1
1249893 1
1250211 1
1250499 5
1250622 1
1250627 5
1250803 1
1251060 1
1251061 5
1251080 1
1251081 1
1251082 1
1251097 5
1251147 1
1251153 1
1251291 1
1249602 1
1249666 1
1249667 4
1249729 1
1249877 1
1249886 5
1249887 0
1249892 1
1249895 5
1249903 4
1249923 0
1249924 1
1249931 0
1250014 1
1250017 1
1250093 1
1250094 1
1250128 1
1250363 0
1250369 0
1250409 1
1249610 1
1249672 1
1249695 1
1249727 7
1249756 5
1249758 1
1249806 5
1250362 5
1250364 1
1250367 1
1250368 1
1250370 0
1250371 1
1250372 0
1250415 0
1250623 0
1250732 0
1250868 1
1250901 1
1250937 1
1251006 1
1251026 1
1251143 1
1251145 5
1249683 5
1249715 7
1249840 1
1249914 1
1249929 1
1249930 1
1250508 1
1250509 1
1250534 5
1250544 1
1250553 1
1250556 1
1250604 1
1250636 5
1250637 1
1250671 1
1250740 1
1250741 1
1250759 1
1250965 1
1250976 0
1251151 1
1251159 1
1251195 1
1251320 1
1251330 5
1251353 1
1251356 1
1251379 1
1249577 1
1249623 1
1249661 1
1249800 1
1249801 1
1249831 1
1250050 1
1250444 1
1250445 1
1250469 1
1250470 1
1250572 1
1250577 1
1250578 1
1250613 1
1250744 0
1251036 1
1251038 0
1251140 1
1251141 5
1251385 0
1251387 1
1251388 1
1251410 1
1249662 1
1249741 1
1249803 5
1249812 1
1249860 1
1249861 0
1249891 2
1249899 1
1249916 1
1249932 0
1250120 1
1250433 1
1250633 5
1250634 0
1250688 1
1250724 1
1250801 1
1250823 1
1250846 1
1250979 0
1251286 1
1251371 1
1249726 1
1249775 1
1249809 1
1249885 5
1249933 0
1250381 7
1250434 1
1250435 1
1250437 0
1250448 1
1250626 5
1250653 5
1250665 1
1250806 0
1250949 0
1250950 1
1251045 1
1251150 1
1251180 1
1251183 1
1251425 1
1251432 1
1249894 5
1249896 5
1249897 1
1249904 1
1249906 1
1249919 1
1249920 1
1250461 1
1250559 1
1250663 0
1250897 1
1250995 0
1251106 1
1251161 6
1251162 1
1251163 0
1251306 1
1251552 1
1251553 1
1251617 5
1252158 3
1252159 1
1250023 1
1250101 1
1250105 1
1250111 5
1250431 1
1250482 1
1250489 1
1250516 1
1250599 5
1250609 1
1250815 1
1250816 1
1250877 1
1251000 1
1251154 1
1251375 5
1251427 1
1251510 1
1251511 1
1251614 1
1251615 1
1251862 4
1250854 5
1250855 5
1250864 1
1250867 1
1250873 1
1250917 1
1251022 1
1251065 1
1251066 4
1251067 0
1251443 1
1251444 5
1251576 5
1251581 1
1251637 1
1251683 1
1251829 1
1251859 1
1251860 5
1251872 0
1249838 1
1249901 1
1249935 1
1250005 1
1250254 1
1250256 1
1250389 1
1250477 1
1250487 1
1250571 5
1251467 1
1251590 5
1251600 1
1251601 1
1251603 1
1251620 1
1251956 1
1249925 0
1250007 5
1250069 1
1250078 1
1250338 0
1250344 4
1250346 4
1250347 1
1250348 0
1250349 0
1250424 2
1250432 1
1250459 1
1250515 1
1250522 1
1250524 3
1250526 1
1250557 5
1250642 0
1250782 1
1250785 1
1250853 5
1250889 0
1250914 5
1251148 2
1251364 1
1249863 1
1249970 1
1250009 1
1250201 1
1250247 5
1250410 1
1250492 1
1250493 6
1250547 1
1250616 1
1251381 1
1251521 1
1251593 1
1251610 1
1251645 1
1251652 1
1251663 1
1251761 1
1251776 5
1249856 1
1249857 5
1249859 1
1249868 1
1249890 5
1249966 2
1249967 0
1250443 5
1250450 1
1250494 1
1251460 1
1251519 1
1250541 5
1250543 1
1250545 1
1250612 1
1250614 1
1250720 1
1250835 5
1250895 1
1251064 1
1251119 1
1251133 1
1251594 0
1250562 5
1250689 1
1251171 1
1251266 1
1251268 1
1251803 0
1251805 5
1251327 1
1251380 1
1252102 1
1250635 1
1250674 5
1250766 0
1250991 1
1250993 1
1250994 1
1251116 1
1251130 0
1251155 4
1251208 5
1251536 1
1251744 0
1251748 1
1251844 1
1252070 1
1252104 0
1252122 1
1252141 1
1251644 1
1252216 1
1252290 1
1252335 0
1252441 1
1252449 1
1252451 5
1252459 1
1252467 1
1252521 1
1252540 1
1250584 1
1250585 1
1250925 1
1251016 1
1251157 3
1251591 1
1251717 2
1252321 1
1252547 1
1252630 1
1252669 1
1252670 1
1252671 1
1252672 0
1252673 1
1252692 0
1250820 1
1250821 1
1251127 1
1251156 1
1251158 0
1251164 5
1251166 1
1251342 1
1251431 1
1251436 1
1251449 1
1251028 1
1251567 1
1251607 1
1252150 1
1252172 5
1252351 0
1252364 1
1252494 1
1252530 1
1252536 0
1252554 1
1252575 1
1252604 1
1252608 1
1252612 1
1250603 0
1250619 1
1250684 5
1250770 1
1250795 1
1250915 1
1250916 1
1250924 5
1250938 1
1251142 5
1251144 1
1251146 1
1251165 0
1251199 2
1251200 5
1251225 1
1251265 5
1251504 1
1251842 1
1252519 1
1250567 1
1250610 5
1250617 7
1250618 0
1250630 2
1250715 1
1250832 0
1250926 1
1251160 0
1251169 1
1251500 1
1252322 1
1252039 0
1252040 3
1252324 1
1252627 1
1250615 1
1250624 0
1250710 1
1250712 1
1251037 1
1251052 1
1251114 1
1251299 0
1251390 1
1252118 5
1252262 0
1252355 1
1250672 1
1250675 1
1250696 1
1250790 0
1250977 1
1250980 1
1251046 1
1251049 1
1251138 1
1251139 0
1251487 1
1251489 1
1252484 1
1250628 1
1250747 1
1250748 1
1250824 1
1250882 1
1250909 1
1250911 1
1250912 1
1250921 1
1250922 0
1250933 1
1250934 0
1250961 1
1251079 1
1251126 1
1251135 1
1251258 1
1251324 5
1251345 1
1251586 1
1251592 0
1251722 1
1250600 0
1250601 1
1250605 1
1250682 1
1250761 1
1250834 5
1250903 1
1251091 1
1251099 1
1251128 5
1251149 0
1251194 1
1251203 0
1251280 1
1251392 1
1251398 1
1251618 1
1251619 1
1251675 1
1250611 5
1250693 1
1250810 1
1250852 1
1250858 1
1250863 1
1250939 1
1250940 1
1250942 4
1250988 1
1251009 1
1251010 5
1251011 1
1251057 1
1251073 5
1251093 5
1251235 1
1251409 1
1251479 1
1251524 1
1251530 1
1251624 1
1252048 0
1251732 1
1251734 0
